,group,test_auroc_avg,test_f1_avg,test_acc_avg,_runtime
46,best_jepa_lp,0.7216931581497192,0.4236149489879608,0.43146780133247375,10803.075366498
47,best_jepa_lp,0.721993625164032,0.4243554770946502,0.4321133196353912,10867.323162107
48,best_jepa_lp,0.7217203378677368,0.4234635531902313,0.43127554655075073,10820.35811968
49,best_jepa_lp,0.7218514680862427,0.42454928159713745,0.4324997365474701,10832.886798335
14,best_stmem_ft,0.7438936233520508,0.4553456306457519,0.4540329873561859,49729.653918825
18,best_stmem_ft,0.7460634112358093,0.457063227891922,0.45541471242904663,56946.822554058
16,best_stmem_ft,0.7414911389350891,0.45934152603149414,0.4577306807041168,56878.29388815
17,best_stmem_ft,0.7465766072273254,0.45531684160232544,0.4543290138244629,57366.965366564
15,best_stmem_ft,0.7439894676208496,0.458197683095932,0.4569343626499176,48178.054025526
52,best_stmem_lp,0.7086135745048523,0.4165341556072235,0.424121618270874,7805.471212233
53,best_stmem_lp,0.7074470520019531,0.4161501824855805,0.42409273982048035,7760.644681617
54,best_stmem_lp,0.7082194685935974,0.4165536165237427,0.4242419302463531,7829.91195702
50,best_stmem_lp,0.7082736492156982,0.41677144169807434,0.4244246780872345,7835.647404198
51,best_stmem_lp,0.7081987857818604,0.415935754776001,0.4238398671150207,7921.583670541
28,best_trans_ft,0.7235444784164429,0.4442293345928192,0.44503331184387207,2712.671199954
27,best_trans_ft,0.7246637344360352,0.4379602670669556,0.44023361802101135,2330.203507244
24,best_trans_ft,0.7263020277023315,0.45047661662101746,0.45091453194618225,2678.662270057
25,best_trans_ft,0.725894033908844,0.438160628080368,0.4411788880825043,2167.928163823
26,best_trans_ft,0.7259012460708618,0.44447895884513855,0.4452526271343231,2334.367452641
21,best_trans_lp,0.7233498692512512,0.4310833811759949,0.4373547732830048,2076.941360322
20,best_trans_lp,0.7250641584396362,0.4306507110595703,0.436728298664093,2105.56108005
19,best_trans_lp,0.7237433791160583,0.4314849376678467,0.4375977516174317,2090.295055968
23,best_trans_lp,0.7248241305351257,0.430401086807251,0.43652206659317017,2049.423009241
22,best_trans_lp,0.7244429588317871,0.4307102859020233,0.4366705119609833,2025.306690085
38,best_xlstm_ft,0.747315526008606,0.45250383019447327,0.4524236023426056,3444.346473797
37,best_xlstm_ft,0.7477515935897827,0.4484538733959198,0.44935300946235657,3437.087451065
36,best_xlstm_ft,0.7450961470603943,0.4509768784046173,0.4510737657546997,3485.69530877
35,best_xlstm_ft,0.7481016516685486,0.4488823115825653,0.4497911036014557,3392.395666713
34,best_xlstm_ft,0.7491987943649292,0.4497811198234558,0.4502215385437012,3367.145487108
31,best_xlstm_lp,0.732538104057312,0.43519967794418335,0.43900105357170105,2517.890383137
29,best_xlstm_lp,0.7318711280822754,0.43372997641563416,0.43792417645454407,2536.337816662
33,best_xlstm_lp,0.7324509620666504,0.4346082806587219,0.43865832686424255,2520.53230112
32,best_xlstm_lp,0.7327646017074585,0.4343331754207611,0.4384634494781494,2504.724445043
30,best_xlstm_lp,0.7330520749092102,0.434684693813324,0.43863484263420105,2451.159844878
43,best_xlstm_sup,0.6830505728721619,0.4169484078884125,0.421886682510376,1810.872951263
41,best_xlstm_sup,0.6843041181564331,0.41860491037368774,0.4220615327358246,1792.026134199
40,best_xlstm_sup,0.6806647777557373,0.4229143559932709,0.4277760982513428,1820.874762353
39,best_xlstm_sup,0.6833693385124207,0.4199640154838562,0.42255717515945435,1821.246199793
42,best_xlstm_sup,0.6841506958007812,0.4250272512435913,0.43013137578964233,1786.779920391
