,group,test_acc,test_sensitivity/mean,test_ppv/mean,test_specificity/mean,test_f1/mean,_runtime
8,best_ecgfm_lp,0.8703129887580872,0.20955625176429749,0.20953841507434845,0.8070228695869446,0.2065698355436325,322.692179941
10,best_ecgfm_lp,0.8611602783203125,0.21337266266345975,0.2091774940490723,0.8102455139160156,0.2103465497493744,332.205728737
7,best_ecgfm_lp,0.8535966873168945,0.2116735726594925,0.20439577102661133,0.810958981513977,0.20772898197174072,332.088836359
9,best_ecgfm_lp,0.8835090398788452,0.2044027149677277,0.2142941951751709,0.8028194308280945,0.19852066040039065,300.660397121
11,best_jepa_ft,0.9522851705551147,0.5458583235740662,0.6198530793190002,0.9482173919677734,0.5719488263130188,2231.96321877
12,best_jepa_ft,0.9531903862953186,0.5595230460166931,0.622568666934967,0.951008915901184,0.5826548337936401,2255.849129973
13,best_jepa_ft,0.9555841684341432,0.5595675706863403,0.6310933232307434,0.9503978490829468,0.5868289470672607,2260.287678237
54,best_jepa_ft,0.9546186327934264,0.5619741082191467,0.6330317258834839,0.9515978097915648,0.5876200199127197,2241.249536139
14,best_jepa_ft,0.9554031491279602,0.5590845942497253,0.6360469460487366,0.9516628384590148,0.5863274335861206,2270.870367249
42,best_jepa_lp,0.946169912815094,0.4694813787937164,0.5765482187271118,0.9332948923110962,0.495655357837677,885.760341406
44,best_jepa_lp,0.9465320110321044,0.4734739661216736,0.5775991082191467,0.9341169595718384,0.5001835227012634,898.549184402
43,best_jepa_lp,0.9465521574020386,0.47054582834243774,0.5716196894645691,0.9332779049873352,0.4969451427459717,895.927110601
41,best_jepa_lp,0.9466527104377748,0.4709031581878662,0.5718170404434204,0.9335266947746276,0.4971807897090912,899.505718857
40,best_jepa_lp,0.9462705254554749,0.46603164076805115,0.5723263621330261,0.9332824945449828,0.4910663962364197,879.167986414
51,best_stmem_ft,0.9655616283416748,0.6312209963798523,0.659415066242218,0.9670802354812622,0.6430865526199341,1742.099716239
22,best_stmem_ft,0.9689210057258606,0.6272475719451904,0.6873767971992493,0.9671181440353394,0.6511754393577576,1808.943492229
19,best_stmem_ft,0.9660444259643556,0.613477349281311,0.6649008989334106,0.959863007068634,0.6360257267951965,1790.77402978
20,best_stmem_ft,0.9649983644485474,0.6230161190032959,0.6598562002182007,0.96445894241333,0.6388772130012512,1774.855195366
21,best_stmem_ft,0.9689813256263732,0.6287291049957275,0.683478057384491,0.966514766216278,0.651596188545227,1800.259341949
18,best_stmem_lp,0.9396926164627076,0.4161852300167084,0.5314468145370483,0.9237364530563354,0.42385587096214294,893.886713049
15,best_stmem_lp,0.9370172023773192,0.43079718947410583,0.5018627643585205,0.9192461967468262,0.4488623142242432,872.955077787
16,best_stmem_lp,0.9366953372955322,0.4117838442325592,0.5233756303787231,0.9188286662101746,0.4230700135231018,861.474783693
50,best_stmem_lp,0.9378419518470764,0.46655112504959106,0.5316792726516724,0.922165870666504,0.489969402551651,840.232782997
17,best_stmem_lp,0.9315658211708068,0.3964044153690338,0.4488136768341065,0.917436957359314,0.3951988816261291,769.578448693
29,best_trans_ft,0.8896601796150208,0.4721522331237793,0.4513832926750183,0.9035181999206544,0.419553816318512,203.673146926
30,best_trans_ft,0.8927586674690247,0.4758011400699615,0.4584360718727112,0.9051607847213744,0.42604655027389526,204.142495662
1,best_trans_ft,0.8914709687232971,0.4777525067329407,0.45290607213974,0.9056470990180968,0.42254894971847534,260.19283092
28,best_trans_ft,0.895837128162384,0.4735008180141449,0.4563228487968445,0.9045416116714478,0.4245709776878357,198.730891883
27,best_trans_ft,0.9105852842330932,0.47335439920425415,0.4635327458381653,0.906962275505066,0.4343542158603668,213.75206022
23,best_trans_lp,0.9309470653533936,0.3820315301418304,0.5446659326553345,0.9278192520141602,0.39335912466049194,112.969158521
24,best_trans_lp,0.9315104484558104,0.377545028924942,0.5636910796165466,0.918903946876526,0.3939924836158752,109.544666299
25,best_trans_lp,0.931228756904602,0.3863920271396637,0.5308980941772461,0.9235813021659852,0.4050562381744385,106.89708948
26,best_trans_lp,0.9306452870368958,0.3830142915248871,0.5560296177864075,0.9282718896865844,0.3939577639102936,106.9789248
0,best_trans_lp,0.9313896894454956,0.37778112292289734,0.5518616437911987,0.9237697720527648,0.3910764455795288,106.151059425
35,best_xlstm_ft,0.976040542125702,0.6438382267951965,0.714086651802063,0.9748026728630066,0.6709853410720825,735.057890491
36,best_xlstm_ft,0.9816733598709106,0.6735665202140808,0.7265506386756897,0.9823771715164183,0.6943203210830688,733.347639393
37,best_xlstm_ft,0.9791386127471924,0.6942089200019836,0.7396773099899292,0.9795743227005004,0.704565167427063,726.98319929
38,best_xlstm_ft,0.977006196975708,0.6421011090278625,0.7348926067352295,0.973408341407776,0.6773409247398376,693.429105125
39,best_xlstm_ft,0.9646744132041932,0.603403627872467,0.6917356252670288,0.956323742866516,0.6392511129379272,654.173809685
31,best_xlstm_lp,0.9717958569526672,0.6738725304603577,0.6504234671592712,0.9768610000610352,0.6615517735481262,326.138922476
32,best_xlstm_lp,0.9695427417755128,0.6914761662483215,0.6708458662033081,0.972746968269348,0.6763907670974731,322.853086617
33,best_xlstm_lp,0.9752761125564576,0.706985354423523,0.6902223229408264,0.9798170924186708,0.692317545413971,322.7047897
34,best_xlstm_lp,0.972097635269165,0.7016760110855103,0.666048526763916,0.9773440361022948,0.6776723861694336,329.607993724
2,best_xlstm_lp,0.9705687165260316,0.6567923426628113,0.6672253012657166,0.9717544317245485,0.6618499755859375,329.565854517
49,best_xlstm_sup,0.8846285343170166,0.47685933113098145,0.41684460639953613,0.9133368730545044,0.4063650965690613,752.628617131
48,best_xlstm_sup,0.9124504327774048,0.4379260540008545,0.4357261657714844,0.9078383445739746,0.4091237187385559,747.866949495
47,best_xlstm_sup,0.9036592841148376,0.4711638391017914,0.41773349046707153,0.9140750765800476,0.4168397784233093,753.581019906
45,best_xlstm_sup,0.8966786861419678,0.4065376222133637,0.4252011775970459,0.9123714566230774,0.3972037136554718,748.313593601
46,best_xlstm_sup,0.8816109895706177,0.44690561294555664,0.3829760253429413,0.903676211833954,0.381464421749115,742.0980504
