,group,test_loss,test_ci,_runtime,val_ci
56,best_ecgcpc_lp,1.7462220191955566,0.6656751036643982,8210.938110329,0.7783954739570618
55,best_ecgcpc_lp,1.746293306350708,0.6645614504814148,8183.133168626,0.7696391940116882
62,best_ecgcpc_lp,1.746831297874451,0.6632087230682373,8211.547132367,0.7953097224235535
63,best_ecgcpc_lp,1.746834635734558,0.6640153527259827,6298.663026412,0.7692088484764099
17,best_ecgfm_ft,1.7773089408874512,0.6875904202461243,4040.491516307,0.8256664276123047
18,best_ecgfm_ft,1.7789556980133057,0.6891899704933167,4298.831281717,0.8225150108337402
5,best_ecgfm_ft,1.7757608890533447,0.6906097531318665,4054.247274928,0.8266926407814026
77,best_ecgfm_ft,1.7406363487243652,0.6862807273864746,1908.991183053,0.8127403855323792
19,best_ecgfm_ft,1.7763431072235107,0.6847997307777405,3549.054264858,0.8141166567802429
0,best_ecgfm_lp,1.7822628021240234,0.6815395951271057,3500.411684098,0.8183819651603699
82,best_ecgfm_lp,1.7417460680007937,0.6834195852279663,2036.640887386,0.8150855898857117
1,best_ecgfm_lp,1.782559514045715,0.6839174628257751,3512.711535672,0.8173930644989014
2,best_ecgfm_lp,1.7821011543273926,0.6830869317054749,3507.013342638,0.8211488127708435
3,best_ecgfm_lp,1.7821426391601562,0.6831798553466797,3491.623613781,0.8152140378952026
21,best_jepa_ft,1.6117311716079712,0.7060792446136475,18354.555959466,0.8277809619903564
80,best_jepa_ft,1.1944962739944458,0.702788233757019,43039.210570349,0.8368099927902222
22,best_jepa_ft,1.6117242574691772,0.7061712741851807,18351.18317781,0.8236548900604248
23,best_jepa_ft,1.6116769313812256,0.7056697607040405,18408.338284328,0.8331403136253357
6,best_jepa_ft,1.2188678979873655,0.7037526965141296,63629.250475173,0.8288776874542236
29,best_jepa_lp,1.6117643117904663,0.705575704574585,18392.166376455,0.8268964886665344
30,best_jepa_lp,1.6116905212402344,0.7069140076637268,18417.471010124,0.8308936953544617
31,best_jepa_lp,1.6117433309555054,0.7055084705352783,18442.104129461,0.8356084823608398
28,best_jepa_lp,1.7795710563659668,0.7057675719261169,19015.777225715,0.8291588425636292
79,best_jepa_lp,1.7431199550628662,0.7037513256072998,7956.304258465,0.8287003636360168
20,best_stmem_ft,1.2189435958862305,0.7008032202720642,23039.637067037,0.7805728912353516
78,best_stmem_ft,1.2004503011703491,0.6881723999977112,9580.769737916,0.7785476446151733
24,best_stmem_ft,1.2198795080184937,0.692274272441864,15340.69179239,0.7729334235191345
26,best_stmem_ft,1.2198795080184937,0.692274272441864,15327.984376995,0.7729334235191345
25,best_stmem_ft,1.2198795080184937,0.692274272441864,15345.640191844,0.7729334235191345
12,best_stmem_lp,1.774544596672058,0.6966331005096436,17253.833842967,0.7578558325767517
10,best_stmem_lp,1.7745994329452517,0.6974807381629944,17221.341546639,0.7569831013679504
11,best_stmem_lp,1.7740980386734009,0.6972032785415649,17217.91937771,0.750015139579773
81,best_stmem_lp,1.7400039434432983,0.6903817653656006,7451.217593981,0.7488442659378052
27,best_stmem_lp,1.611678123474121,0.6988933682441711,12469.601506696,0.7499055862426758
16,best_trans_ft,1.785242199897766,0.6943039894104004,1999.831424445,0.7800855040550232
15,best_trans_ft,1.792264461517334,0.7047837376594543,1788.712541487,0.7903894186019897
14,best_trans_ft,1.790602445602417,0.7047584652900696,1793.30731105,0.7769413590431213
13,best_trans_ft,1.7870484590530396,0.6990424990653992,2114.347888115,0.7925496101379395
8,best_trans_lp,1.7719660997390747,0.6957032084465027,1494.389403278,0.7771481871604919
9,best_trans_lp,1.7711764574050903,0.6963035464286804,1490.562226122,0.7783848643302917
4,best_trans_lp,1.7714449167251587,0.6955494284629822,1467.13011627,0.7809722423553467
7,best_trans_lp,1.7719035148620603,0.6942572593688965,1494.45227198,0.7859774827957153
37,best_xlstm_ft,1.7731335163116455,0.711225688457489,2736.758588709,0.8178324699401855
35,best_xlstm_ft,1.782858967781067,0.7135029435157776,2994.325083051,0.8199567794799805
39,best_xlstm_ft,1.7779138088226318,0.7091549038887024,2867.877243531,0.8210196495056152
38,best_xlstm_ft,1.7762463092803955,0.7081369161605835,3248.958460035,0.8172954320907593
36,best_xlstm_ft,1.7804919481277466,0.7086566686630249,3513.353563455,0.8145411014556885
44,best_xlstm_lp,1.7798941135406494,0.7025231719017029,2040.4944553,0.8043209910392761
43,best_xlstm_lp,1.7789989709854126,0.704830527305603,2028.004709864,0.8038793206214905
42,best_xlstm_lp,1.7775979042053225,0.7055139541625977,2038.312006683,0.8226049542427063
40,best_xlstm_lp,1.7769540548324585,0.7024552226066589,2016.297586927,0.8119704723358154
41,best_xlstm_lp,1.7783632278442385,0.7035213112831116,2032.443185112,0.815485954284668
32,best_xlstm_sup,1.7991535663604736,0.6430865526199341,1843.023327694,0.6466168761253357
33,best_xlstm_sup,1.816759467124939,0.6050746440887451,1597.610895377,0.6426122784614563
34,best_xlstm_sup,1.8040231466293335,0.6203199028968811,1595.537893773,0.628318190574646
75,best_xlstm_sup,1.774245023727417,0.6344457864761353,1101.428614412,0.665340006351471
76,best_xlstm_sup,1.7697032690048218,0.6277106404304504,1649.084939304,0.6695501804351807
