,group,test_acc,test_f1,test_auc,_runtime
16,best_jepa_ft,0.6483650207519531,0.5292976498603821,0.7163909077644348,47959.524037949
29,best_jepa_lp,0.7008348703384399,0.581576406955719,0.7564458250999451,20264.001794486
46,best_jepa_lp,0.5991419553756714,0.4072359502315521,0.6417823433876038,20090.594589476
47,best_jepa_lp,0.6201298832893372,0.482464462518692,0.6553863286972046,19889.503784224
48,best_jepa_lp,0.623666524887085,0.5408502221107483,0.6545052528381348,19896.685569009
49,best_jepa_lp,0.6021567583084106,0.30868425965309143,0.6263378858566284,19848.493851317
22,best_stmem_ft,0.6297561526298523,0.6296337246894836,0.7259854078292847,9519.18802462
21,best_stmem_ft,0.6366479396820068,0.6365905404090881,0.7325608134269714,9521.877540338
20,best_stmem_ft,0.5128858685493469,0.4936438500881195,0.6822684407234192,9506.659857482
24,best_stmem_ft,0.5526148080825806,0.544273853302002,0.700219452381134,9474.917646613
23,best_stmem_ft,0.6024787425994873,0.6015289425849915,0.6602562665939331,9379.684521071
33,best_stmem_lp,0.5611281394958496,0.5562685132026672,0.571552038192749,3998.268531807
34,best_stmem_lp,0.5837146043777466,0.5833055377006531,0.6418998837471008,3977.426524005
35,best_stmem_lp,0.5454334616661072,0.5430617332458496,0.618687093257904,3980.535254082
36,best_stmem_lp,0.5327503085136414,0.5308843851089478,0.594151496887207,3977.731326685
28,best_stmem_lp,0.5714947581291199,0.5587727427482605,0.567427396774292,3953.153279888
9,best_trans_ft,0.5467880368232727,0.5562304854393005,0.6241751313209534,23055.066402785
8,best_trans_ft,0.6005333662033081,0.5323106050491333,0.6750407218933105,23000.916649272
2,best_trans_ft,0.6908627152442932,0.543649435043335,0.7196415662765503,23030.246484574
11,best_trans_ft,0.6012291312217712,0.571090042591095,0.6555747985839844,23074.417674272
10,best_trans_ft,0.6357258558273315,0.6214832067489624,0.7295475006103516,23060.168101328
39,best_trans_lp,0.6311461329460144,0.5922341346740723,0.5819082260131836,395.185173065
38,best_trans_lp,0.665257453918457,0.6473694443702698,0.6515565514564514,417.543173998
40,best_trans_lp,0.7286152839660645,0.709815263748169,0.6989773511886597,408.814879585
41,best_trans_lp,0.6476516127586365,0.6287001371383667,0.6334776282310486,423.074781799
37,best_trans_lp,0.6651995182037354,0.6497898697853088,0.6559861898422241,415.838237884
0,best_xlstm_ft,0.8482722640037537,0.8132448196411133,0.9241725206375122,7805.096859402
4,best_xlstm_ft,0.8632305264472961,0.8232826590538025,0.9331611394882202,7780.096523962
5,best_xlstm_ft,0.868100643157959,0.830464243888855,0.936632513999939,7748.299042211
6,best_xlstm_ft,0.83708256483078,0.76822829246521,0.9159744381904602,7742.648974076
7,best_xlstm_ft,0.8545918464660645,0.7983274459838867,0.929255485534668,7705.872331814
26,best_xlstm_lp,0.8167903423309326,0.7592931389808655,0.8817227482795715,3670.659832595
32,best_xlstm_lp,0.7995709776878357,0.7503790855407715,0.8659141659736633,3639.975847373
31,best_xlstm_lp,0.7913381457328796,0.687938928604126,0.8505071401596069,3654.289797872
30,best_xlstm_lp,0.8293135166168213,0.7628483772277832,0.903190016746521,3678.801490628
25,best_xlstm_lp,0.822182297706604,0.7599592804908752,0.8943145275115967,3660.882506643
51,best_xlstm_sup,0.7953385710716248,0.73016357421875,0.8592502474784851,9533.137530238
52,best_xlstm_sup,0.7136479616165161,0.6821545958518982,0.8224311470985413,9529.49929153
53,best_xlstm_sup,0.7482026815414429,0.7084648013114929,0.8417913913726807,9497.05645866
54,best_xlstm_sup,0.7751043438911438,0.6523882150650024,0.840603768825531,9481.539909683
50,best_xlstm_sup,0.7386943697929382,0.6033617854118347,0.8073639273643494,9554.369106932
