,group,test_acc,test_f1,test_auroc,test_auprc,_runtime
9,best_trans_ft,0.9614848494529724,0.7903997302055359,0.9661896228790284,0.8510692715644836,194.168456976
34,best_trans_lp,0.95324969291687,0.7341389060020447,0.950068175792694,0.7951548099517822,210.5413192
35,best_trans_lp,0.951475977897644,0.7205795645713806,0.9528117775917052,0.7802342176437378,257.815318778
36,best_trans_lp,0.9523628354072572,0.7341068983078003,0.9511511325836182,0.7859111428260803,268.956052494
37,best_trans_lp,0.953883171081543,0.7439802885055542,0.948998749256134,0.7966800332069397,220.043433749
6,best_trans_lp,0.9522361755371094,0.7302647829055786,0.9511153101921082,0.77882319688797,285.810819746
49,best_xlstm_ft,0.9673128128051758,0.8189029693603516,0.981889545917511,0.8843968510627747,731.453071968
48,best_xlstm_ft,0.968453049659729,0.8335440158843994,0.982168436050415,0.8896057605743408,680.423786668
47,best_xlstm_ft,0.9670594334602356,0.8126362562179565,0.9802325367927552,0.8864904046058655,737.449068451
46,best_xlstm_ft,0.9683263897895812,0.8195326328277588,0.9799556732177734,0.8884389996528625,754.676903338
8,best_xlstm_ft,0.9689598083496094,0.8271899223327637,0.9822925925254822,0.8922534584999084,755.863864221
7,best_xlstm_lp,0.963385283946991,0.7964481115341187,0.9682979583740234,0.8653491139411926,456.272400252
42,best_xlstm_lp,0.9598378539085388,0.7697272300720215,0.9662715196609496,0.8552883863449097,458.678497951
43,best_xlstm_lp,0.9614848494529724,0.786536455154419,0.9679552912712096,0.8601842522621155,456.564961119
44,best_xlstm_lp,0.9602178931236268,0.7789621353149414,0.9692099094390868,0.8631740212440491,468.905875255
45,best_xlstm_lp,0.9597111344337464,0.774522602558136,0.9672567844390868,0.8599838614463806,468.021149309
54,best_xlstm_sup,0.9507158398628236,0.7130575180053711,0.9498011469841005,0.8155659437179565,766.428144533
50,best_xlstm_sup,0.9531230330467224,0.7264151573181152,0.9501399993896484,0.812207818031311,771.036666972
51,best_xlstm_sup,0.9516026973724364,0.709725022315979,0.9489875435829164,0.8053436875343323,905.566562101
53,best_xlstm_sup,0.9518560767173768,0.7178254127502441,0.9548310041427612,0.822704553604126,894.715649195
52,best_xlstm_sup,0.9524895548820496,0.7294002771377563,0.951776921749115,0.811320960521698,895.986662981
