,group,test_acc,test_f1,test_auroc,_runtime
66,best_ecgcpc_lp,0.6122495532035828,0.5615241527557373,0.6523130536079407,4295.443535634
67,best_ecgcpc_lp,0.6555599570274353,0.5594338774681091,0.6455079317092896,3142.614686006
68,best_ecgcpc_lp,0.580348551273346,0.541367769241333,0.6207140684127808,1189.338893059
69,best_ecgcpc_lp,0.6153715252876282,0.5536078810691833,0.620716392993927,1187.787819341
0,best_ecgfm_ft,0.6860986351966858,0.6643853187561035,0.8477572202682495,2068.004418571
1,best_ecgfm_ft,0.7921326160430908,0.7252296209335327,0.8508001565933228,1387.863351045
2,best_ecgfm_ft,0.6774138808250427,0.6547466516494751,0.8363887071609497,1744.404808954
3,best_ecgfm_ft,0.7506953477859497,0.7113105654716492,0.8613933324813843,1930.303015655
4,best_ecgfm_ft,0.7043764591217041,0.6733052730560303,0.8316307067871094,1759.536626642
8,best_ecgfm_lp,0.6398932933807373,0.5619553327560425,0.6313384771347046,655.025592641
5,best_ecgfm_lp,0.6479536890983582,0.5777113437652588,0.6624995470046997,631.546800363
6,best_ecgfm_lp,0.760231614112854,0.43351390957832336,0.6572893857955933,903.177840712
7,best_ecgfm_lp,0.7613101005554199,0.4391435384750366,0.6338920593261719,1071.768288501
9,best_ecgfm_lp,0.7608559727668762,0.4436896145343781,0.6183404922485352,647.109419085
47,best_jepa_ft,0.7133450508117676,0.6819495558738708,0.8413510322570801,42557.575259593
46,best_jepa_ft,0.6709995865821838,0.6429347991943359,0.8014030456542969,32046.302660442
45,best_jepa_ft,0.7033547163009644,0.6726808547973633,0.8350511789321899,39492.558322644
49,best_jepa_ft,0.6788329482078552,0.636865496635437,0.7927022576332092,22972.898152359
48,best_jepa_ft,0.7156155705451965,0.6708167791366577,0.8212463855743408,36018.231382961
51,best_jepa_lp,0.5351648926734924,0.4492521286010742,0.4794476628303528,5698.994955604
52,best_jepa_lp,0.5199522972106934,0.4432206451892853,0.4710555672645569,3851.214862108
53,best_jepa_lp,0.5332349538803101,0.4476100206375122,0.47445034980773926,4797.396506966
54,best_jepa_lp,0.5181926488876343,0.4507563710212707,0.47848913073539734,7116.892591889
50,best_jepa_lp,0.536697506904602,0.454260528087616,0.48128870129585266,7181.779092497
18,best_stmem_ft,0.647840142250061,0.5736473798751831,0.6618489027023315,13259.944384338
19,best_stmem_ft,0.5204064249992371,0.508817732334137,0.6517755389213562,12378.838710829
17,best_stmem_ft,0.6949537396430969,0.5866069793701172,0.6812111139297485,15500.333091706
16,best_stmem_ft,0.6224669218063354,0.5500882863998413,0.5566253662109375,11346.614151458
15,best_stmem_ft,0.5919849872589111,0.5549657344818115,0.6619974374771118,16471.493586679
13,best_stmem_lp,0.6202531456947327,0.566865861415863,0.655949592590332,10402.429700991
14,best_stmem_lp,0.6650394797325134,0.5747955441474915,0.6577401161193848,8425.446867243
12,best_stmem_lp,0.6225804686546326,0.5651140213012695,0.6466259956359863,6827.700336121
11,best_stmem_lp,0.6922290921211243,0.5619668364524841,0.6475527286529541,7249.785490021
10,best_stmem_lp,0.7332689762115479,0.5291075110435486,0.6583629846572876,8386.589088492
28,best_trans_ft,0.6690129041671753,0.6271035075187683,0.7701671123504639,1280.18575685
25,best_trans_ft,0.6733836531639099,0.6423817873001099,0.8024438619613647,2066.807744715
39,best_trans_ft,0.6121360063552856,0.5969277620315552,0.7708562016487122,1971.817020504
27,best_trans_ft,0.6440370082855225,0.6186193227767944,0.7731888890266418,1201.428618951
26,best_trans_ft,0.701992392539978,0.6469696760177612,0.7816258668899536,2139.362741238
24,best_trans_lp,0.6393824219703674,0.5649231672286987,0.652016282081604,1144.935238187
23,best_trans_lp,0.5857410430908203,0.5535436272621155,0.6585662364959717,1025.523729446
22,best_trans_lp,0.6351819038391113,0.5702462792396545,0.6553007364273071,1048.498187475
21,best_trans_lp,0.5775103569030762,0.5483553409576416,0.6544415950775146,1140.910818222
20,best_trans_lp,0.6523812413215637,0.5705277919769287,0.6585221290588379,1060.657862022
42,best_xlstm_ft,0.7857751250267029,0.7535892128944397,0.906622052192688,6040.977207754
44,best_xlstm_ft,0.7911108732223511,0.7393766045570374,0.8758776187896729,4006.146687253
43,best_xlstm_ft,0.7958222031593323,0.7501817345619202,0.8898684978485107,4398.132915229
41,best_xlstm_ft,0.7573934197425842,0.7142553329467773,0.8556492328643799,6347.89328331
40,best_xlstm_ft,0.7802690863609314,0.7433977127075195,0.8893429040908813,6055.079559202
38,best_xlstm_lp,0.7168076038360596,0.6487641334533691,0.7576465606689453,4225.293626614
37,best_xlstm_lp,0.6381336450576782,0.6057645082473755,0.7465643882751465,4192.310617127
36,best_xlstm_lp,0.7857751250267029,0.5693417191505432,0.7631896734237671,4205.115131045
35,best_xlstm_lp,0.7220298647880554,0.6494073867797852,0.7558994293212891,4210.196456183
34,best_xlstm_lp,0.6443208456039429,0.6051778197288513,0.7306090593338013,4058.783908898
29,best_xlstm_sup,0.7545552849769592,0.7214049100875854,0.8785091042518616,7656.368603249
33,best_xlstm_sup,0.7875915169715881,0.7455772161483765,0.8778234124183655,7375.890191483
32,best_xlstm_sup,0.7534199953079224,0.7182401418685913,0.8664300441741943,9357.16592113
30,best_xlstm_sup,0.7785093784332275,0.7374749183654785,0.875723123550415,8039.266717631
31,best_xlstm_sup,0.7791905403137207,0.7416041493415833,0.8831453919410706,6351.940474153
